mark,bin_center,average_cpm
DNase,-1770,0.04920788524795858
DNase,-1760,0.04888809466415449
DNase,-1750,0.04908559121154961
DNase,-1740,0.04950409278091538
DNase,-1730,0.049628226867544346
DNase,-1720,0.049769458254863924
DNase,-1710,0.05023866603891918
DNase,-1700,0.049883566729440304
DNase,-1690,0.050216830382924384
DNase,-1680,0.05113636572504594
DNase,-1670,0.051115986440676844
DNase,-1660,0.0515135859384798
DNase,-1650,0.05219961456371536
DNase,-1640,0.05139689981167492
DNase,-1630,0.05115091964846077
DNase,-1620,0.051459719020714306
DNase,-1610,0.05187752027620727
DNase,-1600,0.051963489642183634
DNase,-1590,0.05178712341493904
DNase,-1580,0.05161098631512774
DNase,-1570,0.05181590621468802
DNase,-1560,0.05221425298179437
DNase,-1550,0.05440861355932102
DNase,-1540,0.056471743377274515
DNase,-1530,0.058208033270557354
DNase,-1520,0.05988521016949051
DNase,-1510,0.060969535216571225
DNase,-1500,0.061701494161957415
DNase,-1490,0.0628222544883852
DNase,-1480,0.06364333433772616
DNase,-1470,0.06514555643439915
DNase,-1460,0.06554573094789604
DNase,-1450,0.0665023866917755
DNase,-1440,0.06799294350282406
DNase,-1430,0.0690197590709343
DNase,-1420,0.06945071726302478
DNase,-1410,0.06968542259886953
DNase,-1400,0.06957240100439367
DNase,-1390,0.06913408374136756
DNase,-1380,0.07032275442561146
DNase,-1370,0.07109097175141178
DNase,-1360,0.07144403816697989
DNase,-1350,0.07188346905210209
DNase,-1340,0.07135796045197704
DNase,-1330,0.07175585360954136
DNase,-1320,0.07240147131198932
DNase,-1310,0.07430315580665346
DNase,-1300,0.0754759588198362
DNase,-1290,0.07489627708725628
DNase,-1280,0.0756240478342747
DNase,-1270,0.07553263440050167
DNase,-1260,0.07420452479598177
DNase,-1250,0.07505906817325769
DNase,-1240,0.07525512040175711
DNase,-1230,0.07497183603264232
DNase,-1220,0.07575594111738772
DNase,-1210,0.07682910546139313
DNase,-1200,0.07579301506591285
DNase,-1190,0.07563775618330083
DNase,-1180,0.07505441908348971
DNase,-1170,0.07327669805398565
DNase,-1160,0.07302728913998707
DNase,-1150,0.07305574312617626
DNase,-1140,0.07314711475203936
DNase,-1130,0.07294096484620159
DNase,-1120,0.07348597137476422
DNase,-1110,0.07462746779661
DNase,-1100,0.07557006905210252
DNase,-1090,0.07684859058380365
DNase,-1080,0.07764141807909578
DNase,-1070,0.07897873722536083
DNase,-1060,0.08001054764595113
DNase,-1050,0.08052353760200899
DNase,-1040,0.08155788060263647
DNase,-1030,0.08214788750784689
DNase,-1020,0.08292568750784653
DNase,-1010,0.08364447947269257
DNase,-1000,0.0834377299435031
DNase,-990,0.08444487357187698
DNase,-980,0.08555749315756454
DNase,-970,0.08642702322661629
DNase,-960,0.08699332492153142
DNase,-950,0.08766460715630882
DNase,-940,0.08711822686754547
DNase,-930,0.08693660527306965
DNase,-920,0.08784102686754514
DNase,-910,0.08976283226616463
DNase,-900,0.09011566616446907
DNase,-890,0.0901650015065912
DNase,-880,0.08992534739485239
DNase,-870,0.09106876547394809
DNase,-860,0.09085728951663545
DNase,-850,0.09146771224105422
DNase,-840,0.0921888418079095
DNase,-830,0.09102481581920867
DNase,-820,0.09067551550533576
DNase,-810,0.09176836220966735
DNase,-800,0.09277151173885739
DNase,-790,0.09311287997488985
DNase,-780,0.09379941192718108
DNase,-770,0.09358749780288708
DNase,-760,0.0930651746390459
DNase,-750,0.09348989416195826
DNase,-740,0.09464030382925287
DNase,-730,0.09603460012554924
DNase,-720,0.09659863226616434
DNase,-710,0.09798767696170765
DNase,-700,0.09865603979912115
DNase,-690,0.09902166641556806
DNase,-680,0.10036770345260546
DNase,-670,0.10165517652228546
DNase,-660,0.10214350031387326
DNase,-650,0.10299704092906493
DNase,-640,0.10413643013182727
DNase,-630,0.10461407645951086
DNase,-620,0.10618399096045257
DNase,-610,0.10850628750784756
DNase,-600,0.10949478744507252
DNase,-590,0.1113308161958577
DNase,-580,0.11135005360954216
DNase,-570,0.1103325275580673
DNase,-560,0.11010400954174578
DNase,-550,0.1103662415568116
DNase,-540,0.11140001192718169
DNase,-530,0.11411376597614607
DNase,-520,0.11574816271186446
DNase,-510,0.11657368135593245
DNase,-500,0.1179308375392347
DNase,-490,0.11802448700564998
DNase,-480,0.11803605913371065
DNase,-470,0.11874979899560602
DNase,-460,0.11825717388575041
DNase,-450,0.11886627357187711
DNase,-440,0.11843009717514139
DNase,-430,0.11845514940364105
DNase,-420,0.11802247382297552
DNase,-410,0.11741117689893332
DNase,-400,0.11552395668549986
DNase,-390,0.11602067746390488
DNase,-380,0.11684032002510994
DNase,-370,0.11718680590081691
DNase,-360,0.11805772818581349
DNase,-350,0.1180473092278718
DNase,-340,0.11853596371625855
DNase,-330,0.11905255856873923
DNase,-320,0.11932221933458956
DNase,-310,0.11899251701192774
DNase,-300,0.11881707909604516
DNase,-290,0.11791825047081013
DNase,-280,0.11814123967357194
DNase,-270,0.11877639736346517
DNase,-260,0.11823313396107998
DNase,-250,0.11693028537350908
DNase,-240,0.11622891625863147
DNase,-230,0.11573637514124263
DNase,-220,0.1157860829880727
DNase,-210,0.11566932178280022
DNase,-200,0.11446067206528544
DNase,-190,0.11366469416195914
DNase,-180,0.1115641812931574
DNase,-170,0.10984075630885157
DNase,-160,0.10821301418706855
DNase,-150,0.10551857878217247
DNase,-140,0.1038194867545514
DNase,-130,0.1026160313873202
DNase,-120,0.10124298782172042
DNase,-110,0.10034208549905813
DNase,-100,0.09992869014438192
DNase,-90,0.09888719686126841
DNase,-80,0.09771644946641597
DNase,-70,0.09710098355304468
DNase,-60,0.09698567470182064
DNase,-50,0.0967863885750156
DNase,-40,0.09703709880728148
DNase,-30,0.09713372580037699
DNase,-20,0.09637820112994364
DNase,-10,0.09614671010671703
DNase,0,0.0955548138104207
DNase,10,0.09565235630885192
DNase,20,0.09584614061519155
DNase,30,0.09573753483992492
DNase,40,0.09542889817953541
DNase,50,0.09533273446327675
DNase,60,0.09411050571249237
DNase,70,0.09321269478970526
DNase,80,0.0932026057752668
DNase,90,0.09260169240426866
DNase,100,0.09228655543000658
DNase,110,0.09288212969240466
DNase,120,0.09251276735718797
DNase,130,0.09281284720652896
DNase,140,0.09326619899560583
DNase,150,0.09294300389202788
DNase,160,0.09329282661644689
DNase,170,0.0937247482736979
DNase,180,0.09391205875706209
DNase,190,0.09503749767733849
DNase,200,0.09608002335216602
DNase,210,0.09848559974890131
DNase,220,0.1011672336472067
DNase,230,0.10346940389202795
DNase,240,0.10585114538606391
DNase,250,0.10686533998744537
DNase,260,0.10714985951035798
DNase,270,0.1067161000627747
DNase,280,0.10839848612680535
DNase,290,0.10920758920276245
DNase,300,0.10941044645323326
DNase,310,0.11031030332705623
DNase,320,0.11170162536095475
DNase,330,0.11142154036409359
DNase,340,0.1126825663527939
DNase,350,0.11334396158192114
DNase,360,0.11302263201506584
DNase,370,0.11366631839296944
DNase,380,0.11498291098556251
DNase,390,0.11627064293785294
DNase,400,0.11678567658506055
DNase,410,0.11710034174513552
DNase,420,0.1162539068424364
DNase,430,0.1170040172002511
DNase,440,0.11848983628374188
DNase,450,0.11899180878844978
DNase,460,0.11858074237288185
DNase,470,0.11748736911487782
DNase,480,0.11604221657250521
DNase,490,0.11528672140615219
DNase,500,0.1160035829252989
DNase,510,0.11823834990583859
DNase,520,0.1185918975517895
DNase,530,0.11803446038920358
DNase,540,0.11700165486503433
DNase,550,0.11566726189579431
DNase,560,0.11553964921531718
DNase,570,0.11548484256120568
DNase,580,0.11647723477715026
DNase,590,0.11593596133082282
DNase,600,0.1137697232893915
DNase,610,0.1131191014438168
DNase,620,0.11141773483992505
DNase,630,0.10911841707470187
DNase,640,0.10763302460765845
DNase,650,0.10674282887633442
DNase,660,0.10646544532328964
DNase,670,0.1067191222849971
DNase,680,0.10575028913998752
DNase,690,0.10465315894538618
DNase,700,0.10326906679221577
DNase,710,0.10188410257376014
DNase,720,0.10031404708097942
DNase,730,0.10014856672944175
DNase,740,0.1002483760200882
