run,status,context,lpmd
SRR3088224,INS,sine,0.110258535
SRR3088224,INS,line,0.10465804
SRR3088224,INS,ltr,0.10241057
SRR3088224,INS,bivalent_domain,0.15255342
SRR3088224,INS,bivalent_promoter,0.11960581
SRR3088224,INS,nonbivalent_promoter,0.019890307
SRR3088224,INS,bivalent_promoter_bivslop1000,0.1170067
SRR3088224,INS,nonbivalent_promoter_bivslop1000,0.01914215
SRR3088226,WT,cgi,0.050290573
SRR3088226,WT,cpg_shore,0.10398605
SRR3088226,WT,cpg_shelf,0.12743802
SRR3088226,WT,promoter,0.040419262
SRR3088226,WT,methylation_canyon,0.058451172
SRR3088226,WT,exon,0.09799279
SRR3088226,WT,genebody,0.107307404
SRR3088226,WT,sine,0.11480756
SRR3088226,WT,line,0.10776086
SRR3088226,WT,ltr,0.11050661
SRR3088226,WT,bivalent_domain,0.1126021
SRR3088226,WT,bivalent_promoter,0.08655678
SRR3088226,WT,nonbivalent_promoter,0.01825445
SRR3088226,WT,bivalent_promoter_bivslop1000,0.08468933
SRR3088226,WT,nonbivalent_promoter_bivslop1000,0.017934537
SRR3088229,WT,cgi,0.042922772
SRR3088229,WT,cpg_shore,0.10258728
SRR3088229,WT,cpg_shelf,0.12933074
SRR3088229,WT,promoter,0.03460217
SRR3088229,WT,methylation_canyon,0.047568906
SRR3088229,WT,exon,0.10021691
SRR3088229,WT,genebody,0.10987822
SRR3088229,WT,sine,0.11836267
SRR3088229,WT,line,0.1102601
SRR3088229,WT,ltr,0.113502376
SRR3088229,WT,bivalent_domain,0.08987353
SRR3088229,WT,bivalent_promoter,0.06962333
SRR3088229,WT,nonbivalent_promoter,0.017694838
SRR3088229,WT,bivalent_promoter_bivslop1000,0.0682842
SRR3088229,WT,nonbivalent_promoter_bivslop1000,0.017394956
SRR3088231,WT,cgi,0.046463583
SRR3088231,WT,cpg_shore,0.09767133
SRR3088231,WT,cpg_shelf,0.1241596
SRR3088231,WT,promoter,0.035981867
SRR3088231,WT,methylation_canyon,0.06293936
SRR3088231,WT,exon,0.08934547
SRR3088231,WT,genebody,0.09885491
SRR3088231,WT,sine,0.105515026
SRR3088231,WT,line,0.100160316
SRR3088231,WT,ltr,0.098422274
SRR3088231,WT,bivalent_domain,0.113669164
SRR3088231,WT,bivalent_promoter,0.08200746
SRR3088231,WT,nonbivalent_promoter,0.013767565
SRR3088231,WT,bivalent_promoter_bivslop1000,0.080052316
SRR3088231,WT,nonbivalent_promoter_bivslop1000,0.013538725
SRR3088234,WT,cgi,0.04753323
SRR3088234,WT,cpg_shore,0.09775026
SRR3088234,WT,cpg_shelf,0.12386354
SRR3088234,WT,promoter,0.037164222
SRR3088234,WT,methylation_canyon,0.063844286
SRR3088234,WT,exon,0.08924367
SRR3088234,WT,genebody,0.098764375
SRR3088234,WT,sine,0.10319711
SRR3088234,WT,line,0.10110629
SRR3088234,WT,ltr,0.097488
SRR3088234,WT,bivalent_domain,0.118120305
SRR3088234,WT,bivalent_promoter,0.08600667
SRR3088234,WT,nonbivalent_promoter,0.013911253
SRR3088234,WT,bivalent_promoter_bivslop1000,0.083973646
SRR3088234,WT,nonbivalent_promoter_bivslop1000,0.013633463
SRR3088241,INS,cgi,0.050074838
SRR3088241,INS,cpg_shore,0.100198075
SRR3088241,INS,cpg_shelf,0.125233
SRR3088241,INS,promoter,0.04019065
SRR3088241,INS,methylation_canyon,0.06803271
SRR3088241,INS,exon,0.09436058
SRR3088241,INS,genebody,0.10300804
SRR3088241,INS,sine,0.11133419
SRR3088241,INS,line,0.106775574
SRR3088241,INS,ltr,0.10340784
SRR3088241,INS,bivalent_domain,0.12375576
SRR3088241,INS,bivalent_promoter,0.09350334
SRR3088241,INS,nonbivalent_promoter,0.015034991
SRR3088241,INS,bivalent_promoter_bivslop1000,0.091478676
SRR3088241,INS,nonbivalent_promoter_bivslop1000,0.014466038
SRR3088244,WT,cgi,0.036420498
SRR3088244,WT,cpg_shore,0.10260381
SRR3088244,WT,cpg_shelf,0.13468353
SRR3088244,WT,promoter,0.028926644
SRR3088244,WT,methylation_canyon,0.03943092
SRR3088244,WT,exon,0.10310199
SRR3088244,WT,genebody,0.11396404
SRR3088244,WT,sine,0.124134846
SRR3088244,WT,line,0.118930764
SRR3088244,WT,ltr,0.117671736
SRR3088244,WT,bivalent_domain,0.07197412
SRR3088244,WT,bivalent_promoter,0.05419943
SRR3088244,WT,nonbivalent_promoter,0.016454002
SRR3088244,WT,bivalent_promoter_bivslop1000,0.053356655
SRR3088244,WT,nonbivalent_promoter_bivslop1000,0.016228946
SRR3088248,R882,cgi,0.0339787
SRR3088248,R882,cpg_shore,0.09566458
SRR3088248,R882,cpg_shelf,0.13494949
SRR3088248,R882,promoter,0.02685428
SRR3088248,R882,methylation_canyon,0.038155396
SRR3088248,R882,exon,0.10360787
SRR3088248,R882,genebody,0.110876784
SRR3088248,R882,sine,0.115351334
SRR3088248,R882,line,0.11319536
SRR3088248,R882,ltr,0.10615869
SRR3088248,R882,bivalent_domain,0.07175188
SRR3088248,R882,bivalent_promoter,0.053849213
SRR3088248,R882,nonbivalent_promoter,0.013572156
SRR3088248,R882,bivalent_promoter_bivslop1000,0.0528087
SRR3088248,R882,nonbivalent_promoter_bivslop1000,0.013423121
SRR3088251,R882,cgi,0.03598067
SRR3088251,R882,cpg_shore,0.100392826
SRR3088251,R882,cpg_shelf,0.14215212
SRR3088251,R882,promoter,0.029174224
SRR3088251,R882,methylation_canyon,0.041806202
SRR3088251,R882,exon,0.1092075
SRR3088251,R882,genebody,0.11774218
SRR3088251,R882,sine,0.123359986
SRR3088251,R882,line,0.12024659
SRR3088251,R882,ltr,0.114549756
SRR3088251,R882,bivalent_domain,0.07614173
SRR3088251,R882,bivalent_promoter,0.057828266
SRR3088251,R882,nonbivalent_promoter,0.015435282
SRR3088251,R882,bivalent_promoter_bivslop1000,0.056725457
SRR3088251,R882,nonbivalent_promoter_bivslop1000,0.015263698
SRR3088253,Other,cgi,0.03716732
SRR3088253,Other,cpg_shore,0.09108707
SRR3088253,Other,cpg_shelf,0.11372378
SRR3088253,Other,promoter,0.02860168
SRR3088253,Other,methylation_canyon,0.040963065
SRR3088253,Other,exon,0.08658016
SRR3088253,Other,genebody,0.09476911
SRR3088253,Other,sine,0.10383682
SRR3088253,Other,line,0.10156087
SRR3088253,Other,ltr,0.104558684
SRR3088253,Other,bivalent_domain,0.078307465
SRR3088253,Other,bivalent_promoter,0.057928827
SRR3088253,Other,nonbivalent_promoter,0.014035356
SRR3088253,Other,bivalent_promoter_bivslop1000,0.05669138
SRR3088253,Other,nonbivalent_promoter_bivslop1000,0.013888935
SRR3088256,Other,cgi,0.036686216
SRR3088256,Other,cpg_shore,0.09392559
SRR3088256,Other,cpg_shelf,0.11969117
SRR3088256,Other,promoter,0.0284728
SRR3088256,Other,methylation_canyon,0.03965556
SRR3088256,Other,exon,0.09249135
SRR3088256,Other,genebody,0.1002933
SRR3088256,Other,sine,0.11159306
SRR3088256,Other,line,0.10709736
SRR3088256,Other,ltr,0.10951401
SRR3088256,Other,bivalent_domain,0.0762519
SRR3088256,Other,bivalent_promoter,0.056794316
SRR3088256,Other,nonbivalent_promoter,0.014587062
SRR3088256,Other,bivalent_promoter_bivslop1000,0.055577923
SRR3088256,Other,nonbivalent_promoter_bivslop1000,0.01444236
SRR3088258,WT,cgi,0.03769287
SRR3088258,WT,cpg_shore,0.09776628
SRR3088258,WT,cpg_shelf,0.12442718
SRR3088258,WT,promoter,0.028957047
SRR3088258,WT,methylation_canyon,0.047213357
SRR3088258,WT,exon,0.09219755
SRR3088258,WT,genebody,0.10152247
SRR3088258,WT,sine,0.10794062
SRR3088258,WT,line,0.10314129
SRR3088258,WT,ltr,0.10058182
SRR3088258,WT,bivalent_domain,0.082848325
SRR3088258,WT,bivalent_promoter,0.059842926
SRR3088258,WT,nonbivalent_promoter,0.013718144
SRR3088258,WT,bivalent_promoter_bivslop1000,0.05861532
SRR3088258,WT,nonbivalent_promoter_bivslop1000,0.013536921
SRR3088261,WT,cgi,0.03432357
SRR3088261,WT,cpg_shore,0.09984437
SRR3088261,WT,cpg_shelf,0.13087244
SRR3088261,WT,promoter,0.026717473
SRR3088261,WT,methylation_canyon,0.036639556
SRR3088261,WT,exon,0.10098712
SRR3088261,WT,genebody,0.11140126
SRR3088261,WT,sine,0.12325975
SRR3088261,WT,line,0.115301624
SRR3088261,WT,ltr,0.11560852
SRR3088261,WT,bivalent_domain,0.06635862
SRR3088261,WT,bivalent_promoter,0.049398176
SRR3088261,WT,nonbivalent_promoter,0.015596908
SRR3088261,WT,bivalent_promoter_bivslop1000,0.048577055
SRR3088261,WT,nonbivalent_promoter_bivslop1000,0.015434326
SRR3088263,WT,cgi,0.039255235
SRR3088263,WT,cpg_shore,0.09213079
SRR3088263,WT,cpg_shelf,0.11862625
SRR3088263,WT,promoter,0.031033263
SRR3088263,WT,methylation_canyon,0.047142953
SRR3088263,WT,exon,0.08996998
SRR3088263,WT,genebody,0.098380595
SRR3088263,WT,sine,0.103122234
SRR3088263,WT,line,0.097015515
SRR3088263,WT,ltr,0.097725525
SRR3088263,WT,bivalent_domain,0.08678688
SRR3088263,WT,bivalent_promoter,0.065835245
SRR3088263,WT,nonbivalent_promoter,0.014180079
SRR3088263,WT,bivalent_promoter_bivslop1000,0.06448662
SRR3088263,WT,nonbivalent_promoter_bivslop1000,0.013894891
SRR3088266,WT,cgi,0.03559541
SRR3088266,WT,cpg_shore,0.092806645
SRR3088266,WT,cpg_shelf,0.12284546
SRR3088266,WT,promoter,0.02795909
SRR3088266,WT,methylation_canyon,0.04258909
SRR3088266,WT,exon,0.093661815
SRR3088266,WT,genebody,0.10207781
SRR3088266,WT,sine,0.106575295
SRR3088266,WT,line,0.10261775
SRR3088266,WT,ltr,0.100624755
SRR3088266,WT,bivalent_domain,0.07697931
SRR3088266,WT,bivalent_promoter,0.05751391
SRR3088266,WT,nonbivalent_promoter,0.013831663
SRR3088266,WT,bivalent_promoter_bivslop1000,0.056355685
SRR3088266,WT,nonbivalent_promoter_bivslop1000,0.013626104
SRR3088268,WT,cgi,0.035663117
SRR3088268,WT,cpg_shore,0.09230435
SRR3088268,WT,cpg_shelf,0.12122825
SRR3088268,WT,promoter,0.027974533
SRR3088268,WT,methylation_canyon,0.03980197
SRR3088268,WT,exon,0.093392774
SRR3088268,WT,genebody,0.10121073
SRR3088268,WT,sine,0.10633389
SRR3088268,WT,line,0.10233275
SRR3088268,WT,ltr,0.10303467
SRR3088268,WT,bivalent_domain,0.0753741
SRR3088268,WT,bivalent_promoter,0.056913998
SRR3088268,WT,nonbivalent_promoter,0.013761059
SRR3088268,WT,bivalent_promoter_bivslop1000,0.055881698
SRR3088268,WT,nonbivalent_promoter_bivslop1000,0.013550533
SRR3088271,WT,cgi,0.04251466
SRR3088271,WT,cpg_shore,0.09728302
SRR3088271,WT,cpg_shelf,0.12402935
SRR3088271,WT,promoter,0.034118194
SRR3088271,WT,methylation_canyon,0.0508135
SRR3088271,WT,exon,0.09499207
SRR3088271,WT,genebody,0.10351356
SRR3088271,WT,sine,0.10926112
SRR3088271,WT,line,0.10552856
SRR3088271,WT,ltr,0.10472567
SRR3088271,WT,bivalent_domain,0.09556582
SRR3088271,WT,bivalent_promoter,0.07325272
SRR3088271,WT,nonbivalent_promoter,0.015415992
SRR3088271,WT,bivalent_promoter_bivslop1000,0.07170989
SRR3088271,WT,nonbivalent_promoter_bivslop1000,0.015090437
SRR3088273,WT,cgi,0.034837395
SRR3088273,WT,cpg_shore,0.09621906
SRR3088273,WT,cpg_shelf,0.13085508
SRR3088273,WT,promoter,0.02696182
SRR3088273,WT,methylation_canyon,0.04099128
SRR3088273,WT,exon,0.09842577
SRR3088273,WT,genebody,0.10595065
SRR3088273,WT,sine,0.112737775
SRR3088273,WT,line,0.10895024
SRR3088273,WT,ltr,0.10557137
SRR3088273,WT,bivalent_domain,0.07307856
SRR3088273,WT,bivalent_promoter,0.053510346
SRR3088273,WT,nonbivalent_promoter,0.013769007
SRR3088273,WT,bivalent_promoter_bivslop1000,0.052453265
SRR3088273,WT,nonbivalent_promoter_bivslop1000,0.013642769
SRR3088276,WT,cgi,0.04487085
SRR3088276,WT,cpg_shore,0.10188318
SRR3088276,WT,cpg_shelf,0.13745879
SRR3088276,WT,promoter,0.03537876
SRR3088276,WT,methylation_canyon,0.05792936
SRR3088276,WT,exon,0.10244691
SRR3088276,WT,genebody,0.108950116
SRR3088276,WT,sine,0.10965591
SRR3088276,WT,line,0.1100209
SRR3088276,WT,ltr,0.10339903
SRR3088276,WT,bivalent_domain,0.10513258
SRR3088276,WT,bivalent_promoter,0.07833991
SRR3088276,WT,nonbivalent_promoter,0.014703753
SRR3088276,WT,bivalent_promoter_bivslop1000,0.07655125
SRR3088276,WT,nonbivalent_promoter_bivslop1000,0.014414517
SRR3088278,WT,cgi,0.039328173
SRR3088278,WT,cpg_shore,0.08995859
SRR3088278,WT,cpg_shelf,0.11365992
SRR3088278,WT,promoter,0.031256154
SRR3088278,WT,methylation_canyon,0.046321813
SRR3088278,WT,exon,0.08496924
SRR3088278,WT,genebody,0.094797365
SRR3088278,WT,sine,0.10559981
SRR3088278,WT,line,0.10138852
SRR3088278,WT,ltr,0.10214484
SRR3088278,WT,bivalent_domain,0.086101405
SRR3088278,WT,bivalent_promoter,0.06613516
SRR3088278,WT,nonbivalent_promoter,0.014368641
SRR3088278,WT,bivalent_promoter_bivslop1000,0.064763755
SRR3088278,WT,nonbivalent_promoter_bivslop1000,0.014112783
SRR3088281,Other,cgi,0.03708528
SRR3088281,Other,cpg_shore,0.09787028
SRR3088281,Other,cpg_shelf,0.12892906
SRR3088281,Other,promoter,0.029076295
SRR3088281,Other,methylation_canyon,0.041475512
SRR3088281,Other,exon,0.09864246
SRR3088281,Other,genebody,0.1087741
SRR3088281,Other,sine,0.11987507
SRR3088281,Other,line,0.11226662
SRR3088281,Other,ltr,0.11492764
SRR3088281,Other,bivalent_domain,0.075676076
SRR3088281,Other,bivalent_promoter,0.056870922
SRR3088281,Other,nonbivalent_promoter,0.015536584
SRR3088281,Other,bivalent_promoter_bivslop1000,0.055884715
SRR3088281,Other,nonbivalent_promoter_bivslop1000,0.015320019
SRR3088283,WT,cgi,0.043455727
SRR3088283,WT,cpg_shore,0.09739826
SRR3088283,WT,cpg_shelf,0.12231082
SRR3088283,WT,promoter,0.034269065
SRR3088283,WT,methylation_canyon,0.050917115
SRR3088283,WT,exon,0.089782126
SRR3088283,WT,genebody,0.098537646
SRR3088283,WT,sine,0.103139475
SRR3088283,WT,line,0.102343075
SRR3088283,WT,ltr,0.09938895
SRR3088283,WT,bivalent_domain,0.09698679
SRR3088283,WT,bivalent_promoter,0.07250132
SRR3088283,WT,nonbivalent_promoter,0.016080985
SRR3088283,WT,bivalent_promoter_bivslop1000,0.07097642
SRR3088283,WT,nonbivalent_promoter_bivslop1000,0.015770823
SRR3088286,WT,cgi,0.04250291
SRR3088286,WT,cpg_shore,0.09458204
SRR3088286,WT,cpg_shelf,0.12033754
SRR3088286,WT,promoter,0.033888467
SRR3088286,WT,methylation_canyon,0.049638934
SRR3088286,WT,exon,0.0905486
SRR3088286,WT,genebody,0.09871876
SRR3088286,WT,sine,0.106476024
SRR3088286,WT,line,0.10112137
SRR3088286,WT,ltr,0.09911466
SRR3088286,WT,bivalent_domain,0.098138385
SRR3088286,WT,bivalent_promoter,0.07418664
SRR3088286,WT,nonbivalent_promoter,0.014817685
SRR3088286,WT,bivalent_promoter_bivslop1000,0.072540514
SRR3088286,WT,nonbivalent_promoter_bivslop1000,0.014508525
SRR3088288,WT,cgi,0.037688036
SRR3088288,WT,cpg_shore,0.0918703
SRR3088288,WT,cpg_shelf,0.11597863
SRR3088288,WT,promoter,0.029486533
SRR3088288,WT,methylation_canyon,0.04309289
SRR3088288,WT,exon,0.08791812
SRR3088288,WT,genebody,0.09589666
SRR3088288,WT,sine,0.09955031
SRR3088288,WT,line,0.09978083
SRR3088288,WT,ltr,0.094389305
SRR3088288,WT,bivalent_domain,0.07926147
SRR3088288,WT,bivalent_promoter,0.059679255
SRR3088288,WT,nonbivalent_promoter,0.0148307085
SRR3088288,WT,bivalent_promoter_bivslop1000,0.05843316
SRR3088288,WT,nonbivalent_promoter_bivslop1000,0.0146296555
SRR3088291,WT,cgi,0.04305518
SRR3088291,WT,cpg_shore,0.095880434
SRR3088291,WT,cpg_shelf,0.122173525
SRR3088291,WT,promoter,0.034854405
SRR3088291,WT,methylation_canyon,0.05155709
SRR3088291,WT,exon,0.093195885
SRR3088291,WT,genebody,0.102109745
SRR3088291,WT,sine,0.1077444
SRR3088291,WT,line,0.10191207
SRR3088291,WT,ltr,0.10109817
SRR3088291,WT,bivalent_domain,0.09749955
SRR3088291,WT,bivalent_promoter,0.075265266
SRR3088291,WT,nonbivalent_promoter,0.0157008
SRR3088291,WT,bivalent_promoter_bivslop1000,0.07363126
SRR3088291,WT,nonbivalent_promoter_bivslop1000,0.015352764
SRR3088293,WT,cgi,0.031914324
SRR3088293,WT,cpg_shore,0.08639518
SRR3088293,WT,cpg_shelf,0.11149636
SRR3088293,WT,promoter,0.024962768
SRR3088293,WT,methylation_canyon,0.03687176
SRR3088293,WT,exon,0.086782835
SRR3088293,WT,genebody,0.0936503
SRR3088293,WT,sine,0.099643216
SRR3088293,WT,line,0.09704012
SRR3088293,WT,ltr,0.095022365
SRR3088293,WT,bivalent_domain,0.06667552
SRR3088293,WT,bivalent_promoter,0.050324973
SRR3088293,WT,nonbivalent_promoter,0.012660155
SRR3088293,WT,bivalent_promoter_bivslop1000,0.049306337
SRR3088293,WT,nonbivalent_promoter_bivslop1000,0.012518857
SRR3088296,Other,cgi,0.031078672
SRR3088296,Other,cpg_shore,0.08639232
SRR3088296,Other,cpg_shelf,0.115774155
SRR3088296,Other,promoter,0.024279067
SRR3088296,Other,methylation_canyon,0.035407275
SRR3088296,Other,exon,0.088018164
SRR3088296,Other,genebody,0.09633792
SRR3088296,Other,sine,0.105461024
SRR3088296,Other,line,0.099171035
SRR3088296,Other,ltr,0.098451786
SRR3088296,Other,bivalent_domain,0.06506395
SRR3088296,Other,bivalent_promoter,0.048914272
SRR3088296,Other,nonbivalent_promoter,0.0121673
SRR3088296,Other,bivalent_promoter_bivslop1000,0.0479036
SRR3088296,Other,nonbivalent_promoter_bivslop1000,0.012049837
