status,distance_bin,beta
INS,"(-300.0, -270.0]",0.3034818851666669
INS,"(-270.0, -240.0]",0.28348625556286594
INS,"(-240.0, -210.0]",0.31282134101010123
INS,"(-210.0, -180.0]",0.32849093479350977
INS,"(-180.0, -150.0]",0.37133239774957677
INS,"(-150.0, -120.0]",0.3555243910353527
INS,"(-120.0, -90.0]",0.3468208176339867
INS,"(-90.0, -60.0]",0.4177362035342791
INS,"(-60.0, -30.0]",0.4716164545075206
INS,"(-30.0, 0.0]",0.5309419553149538
INS,"(0.0, 0.02]",0.5755067547412481
INS,"(0.0, 30.0]",0.4402682131416123
INS,"(0.02, 0.04]",0.5297924392462311
INS,"(0.04, 0.06]",0.5620007116959072
INS,"(0.06, 0.08]",0.5559055328711117
INS,"(0.08, 0.1]",0.5959028233333338
INS,"(0.1, 0.12]",0.5889959882180289
INS,"(0.12, 0.14]",0.5827003011324778
INS,"(0.14, 0.16]",0.5701681535889871
INS,"(0.16, 0.18]",0.5783086634310137
INS,"(0.18, 0.2]",0.5686434089622642
INS,"(0.2, 0.22]",0.5542698261716171
INS,"(0.22, 0.24]",0.5610562810011005
INS,"(0.24, 0.26]",0.5480897231914889
INS,"(0.26, 0.28]",0.5706917297732419
INS,"(0.28, 0.3]",0.5491129186666662
INS,"(0.3, 0.32]",0.5381392908888889
INS,"(0.32, 0.34]",0.5511337419047617
INS,"(0.34, 0.36]",0.5451393280528046
INS,"(0.36, 0.38]",0.5389887491111109
INS,"(0.38, 0.4]",0.5757395376068373
INS,"(0.4, 0.42]",0.5860363308510632
INS,"(0.42, 0.44]",0.4960197870728792
INS,"(0.44, 0.46]",0.5073398904924245
INS,"(0.46, 0.48]",0.5268402339426523
INS,"(0.48, 0.5]",0.5338466581159419
INS,"(0.5, 0.52]",0.5213444773533078
INS,"(0.52, 0.54]",0.5693260079671721
INS,"(0.54, 0.56]",0.5600107389922478
INS,"(0.56, 0.58]",0.5643052801566949
INS,"(0.58, 0.6]",0.6263812998280418
INS,"(0.6, 0.62]",0.5829659601797388
INS,"(0.62, 0.64]",0.579088075239899
INS,"(0.64, 0.66]",0.495952502143975
INS,"(0.66, 0.68]",0.565404964756944
INS,"(0.68, 0.7]",0.5540056945568037
INS,"(0.7, 0.72]",0.5227373905801379
INS,"(0.72, 0.74]",0.5207943925786165
INS,"(0.74, 0.76]",0.5492815679106282
INS,"(0.76, 0.78]",0.5417377188888888
INS,"(0.78, 0.8]",0.5977881428421048
INS,"(0.8, 0.82]",0.5741121035082305
INS,"(0.82, 0.84]",0.5766208798722856
INS,"(0.84, 0.86]",0.5699836038562093
INS,"(0.86, 0.88]",0.5706795046405223
INS,"(0.88, 0.9]",0.5784873162473796
INS,"(0.9, 0.92]",0.5950520175321632
