status,distance_bin,beta
INS,"(-480.0, -450.0]",0.1798259003725181
INS,"(-450.0, -420.0]",0.18159208758312287
INS,"(-420.0, -390.0]",0.1802938135425053
INS,"(-390.0, -360.0]",0.18492615494483833
INS,"(-360.0, -330.0]",0.17448291865512958
INS,"(-330.0, -300.0]",0.17968980524682837
INS,"(-300.0, -270.0]",0.1751451840005122
INS,"(-270.0, -240.0]",0.17282997438097347
INS,"(-240.0, -210.0]",0.16965534719599093
INS,"(-210.0, -180.0]",0.1709568555124987
INS,"(-180.0, -150.0]",0.1689839809040409
INS,"(-150.0, -120.0]",0.16796856667006826
INS,"(-120.0, -90.0]",0.17196675474934486
INS,"(-90.0, -60.0]",0.16587537525748525
INS,"(-60.0, -30.0]",0.1681757911093141
INS,"(-30.0, 0.0]",0.16657068727553603
NBM,"(-3000.0, -2970.0]",0.4757998933321603
NBM,"(-2970.0, -2940.0]",0.530737592769037
NBM,"(-2940.0, -2910.0]",0.42252854345238045
NBM,"(-2910.0, -2880.0]",0.4531891169729064
NBM,"(-2880.0, -2850.0]",0.48116867587694395
NBM,"(-2850.0, -2820.0]",0.5085079849999992
NBM,"(-2820.0, -2790.0]",0.4641335509488656
NBM,"(-2790.0, -2760.0]",0.47933047801194995
NBM,"(-2760.0, -2730.0]",0.4946307640194531
NBM,"(-2730.0, -2700.0]",0.48313307570459546
NBM,"(-2700.0, -2670.0]",0.4393186162715792
NBM,"(-2670.0, -2640.0]",0.45375548435807606
NBM,"(-2640.0, -2610.0]",0.43383222609183647
NBM,"(-2610.0, -2580.0]",0.4425025138551511
NBM,"(-2580.0, -2550.0]",0.43814890290579506
NBM,"(-2550.0, -2520.0]",0.4182947028541078
NBM,"(-2520.0, -2490.0]",0.3795124183094572
NBM,"(-2490.0, -2460.0]",0.4448201261744693
NBM,"(-2460.0, -2430.0]",0.37272900312380913
NBM,"(-2430.0, -2400.0]",0.37901889561790025
NBM,"(-2400.0, -2370.0]",0.3388219752772338
NBM,"(-2370.0, -2340.0]",0.354552568879094
NBM,"(-2340.0, -2310.0]",0.30408051164948563
NBM,"(-2310.0, -2280.0]",0.38064004271252067
NBM,"(-2280.0, -2250.0]",0.3404955509087502
NBM,"(-2250.0, -2220.0]",0.3697452608159927
NBM,"(-2220.0, -2190.0]",0.36482701830000047
NBM,"(-2190.0, -2160.0]",0.36214679664966043
NBM,"(-2160.0, -2130.0]",0.29546449349303167
NBM,"(-2130.0, -2100.0]",0.29954723076847223
NBM,"(-2100.0, -2070.0]",0.2947989727428568
NBM,"(-2070.0, -2040.0]",0.31555392814167144
NBM,"(-2040.0, -2010.0]",0.29667924086623954
NBM,"(-2010.0, -1980.0]",0.3288216299461451
NBM,"(-1980.0, -1950.0]",0.282137366252706
NBM,"(-1950.0, -1920.0]",0.29003744807775084
NBM,"(-1920.0, -1890.0]",0.2610605783997516
NBM,"(-1890.0, -1860.0]",0.2952418538661914
NBM,"(-1860.0, -1830.0]",0.28676399898356447
NBM,"(-1830.0, -1800.0]",0.2185144669256258
NBM,"(-1800.0, -1770.0]",0.2595464229766959
NBM,"(-1770.0, -1740.0]",0.23765149573422953
NBM,"(-1740.0, -1710.0]",0.24746074569391008
NBM,"(-1710.0, -1680.0]",0.23362951183191363
NBM,"(-1680.0, -1650.0]",0.2489578299847078
NBM,"(-1650.0, -1620.0]",0.22805540752549106
NBM,"(-1620.0, -1590.0]",0.21992372318463277
NBM,"(-1590.0, -1560.0]",0.2467904670855352
NBM,"(-1560.0, -1530.0]",0.21460075416930036
NBM,"(-1530.0, -1500.0]",0.19423683040402992
NBM,"(-1500.0, -1470.0]",0.19816022744748804
NBM,"(-1470.0, -1440.0]",0.18572138847693034
NBM,"(-1440.0, -1410.0]",0.16929724779472488
NBM,"(-1410.0, -1380.0]",0.1669554014330073
NBM,"(-1380.0, -1350.0]",0.1671509402962875
