state_type,length,normalized_length,subclass,vs_NBM_dmr_type,null_normalized_length,enrichment,log_enrichment
15_Quies,7512,0.015989068177029123,r882,hyper,0.2961689323192335,0.05398631129815764,-1.2677163453863851
1_TssA,6596,0.01403938946960651,r882,hyper,0.07354661357514676,0.19089103885472125,-0.7192144585486695
2_TssAFlnk,89343,0.19016391349045694,r882,hyper,0.08389528015902648,2.2666819054658918,0.35539057773841254
3_TxFlnk,1166,0.002481796258575074,r882,hyper,0.000849213530625175,2.9224643379716553,0.4657492202901241
4_Tx,1359,0.0028925910080647736,r882,hyper,0.10157419268894068,0.0284776175078546,-1.545496347425397
5_TxWk,5793,0.012330227895304805,r882,hyper,0.11102853089416523,0.11105458926641336,-0.954463489777398
6_EnhG,3134,0.006670625621247242,r882,hyper,0.008725179249273289,0.7645259118089559,-0.11660779061145111
7_Enh,23041,0.04904208198441534,r882,hyper,0.060682922304168725,0.8081694177250641,-0.09249758790047907
8_ZNF/Rpts,5627,0.011976901841339574,r882,hyper,0.0045553322285184356,2.6292049054860946,0.41982443390178614
9_Het,14009,0.02981773909637927,r882,hyper,0.01950509308341919,1.528715549772311,0.1843266831515428
12_EnhBiv,1665,0.016246914062118832,r882,hypo,0.023320547197533327,0.6966780806857443,-0.15696785329057777
13_ReprPC,2549,0.024872903269874416,r882,hypo,0.0442597018833494,0.5619762947213085,-0.2502820034502591
14_ReprPCWk,10087,0.09842800128804363,r882,hypo,0.09113657731472811,1.0800054620016675,0.033425951886195966
15_Quies,14849,0.14489515129633787,r882,hypo,0.2961689323192335,0.4892314334312378,-0.3104856470421912
1_TssA,235,0.002293107990749505,r882,hypo,0.07354661357514676,0.03117897452078478,-1.506138172896002
2_TssAFlnk,6737,0.06573901503693368,r882,hypo,0.08389528015902648,0.7835841886733442,-0.10591433587433709
3_TxFlnk,1225,0.01195343527092827,r882,hypo,0.000849213530625175,14.075888854630444,1.1484758289210923
4_Tx,11323,0.11048877352875167,r882,hypo,0.10157419268894068,1.0877642303012034,0.036534773510020935
5_TxWk,15116,0.14750051229008304,r882,hypo,0.11102853089416523,1.3284919750103124,0.12335893532193412
6_EnhG,2731,0.026648842224412335,r882,hypo,0.008725179249273289,3.0542458169706816,0.48490398774912313
7_Enh,33295,0.32488949171065856,r882,hypo,0.060682922304168725,5.353886717620052,0.7286691777524844
10_TssBiv,1713,0.0045894049848493376,other,hyper,0.0010244009844367257,4.48008646474784,0.6512863958732553
11_BivFlnk,78301,0.20978108565013878,other,hyper,0.04110005801828783,5.104155462670998,0.707923893681745
12_EnhBiv,62586,0.1676780504271924,other,hyper,0.023320547197533327,7.190142195502519,0.8567374792718182
13_ReprPC,59777,0.160152283583969,other,hyper,0.0442597018833494,3.6184672912182143,0.5585246512172491
14_ReprPCWk,9245,0.024768855274332816,other,hyper,0.09113657731472811,0.2717773259006299,-0.5657867788286881
15_Quies,7706,0.020645624526123174,other,hyper,0.2961689323192335,0.0697089474052928,-1.1567114749958747
1_TssA,7816,0.0209403323768724,other,hyper,0.07354661357514676,0.28472191116558304,-0.5455791098388514
2_TssAFlnk,76548,0.20508451417410808,other,hyper,0.08389528015902648,2.4445298208118875,0.3881953395892402
3_TxFlnk,1278,0.0034239693932501185,other,hyper,0.000849213530625175,4.031929861891692,0.6055129686610927
4_Tx,367,0.0009832525565906052,other,hyper,0.10157419268894068,0.009680141486348836,-2.0141182949342196
5_TxWk,3603,0.009653021693176979,other,hyper,0.11102853089416523,0.08694181230208697,-1.060771311182304
6_EnhG,1465,0.003924972739523806,other,hyper,0.008725179249273289,0.44984436736365185,-0.3469377130823118
7_Enh,23766,0.0636729707355104,other,hyper,0.060682922304168725,1.0492733098177816,0.020888625930027566
8_ZNF/Rpts,3480,0.009323484732793753,other,hyper,0.0045553322285184356,2.046718936200642,0.31105820766595704
9_Het,9516,0.02549490825208774,other,hyper,0.01950509308341919,1.307089801779021,0.11630542620130067
12_EnhBiv,1765,0.03602555467107546,other,hypo,0.023320547197533327,1.544798857673716,0.18887193962543908
13_ReprPC,2240,0.04572081725960851,other,hypo,0.0442597018833494,1.033012318521937,0.014105500449150266
