status,distance_bin,beta
NBM,"(-1110.0, -1080.0]",0.17813778544054693
NBM,"(-1080.0, -1050.0]",0.16557927996031818
NBM,"(-1050.0, -1020.0]",0.165768215883262
NBM,"(-1020.0, -990.0]",0.15137559471559556
NBM,"(-990.0, -960.0]",0.15856868913119448
NBM,"(-960.0, -930.0]",0.15173671780905224
NBM,"(-930.0, -900.0]",0.12378505115920169
NBM,"(-900.0, -870.0]",0.12426468630112655
NBM,"(-870.0, -840.0]",0.13373842645950654
NBM,"(-840.0, -810.0]",0.1279735423319927
NBM,"(-810.0, -780.0]",0.12518426586498047
NBM,"(-780.0, -750.0]",0.1192925003850356
NBM,"(-750.0, -720.0]",0.11183576364040941
NBM,"(-720.0, -690.0]",0.1133525395644679
NBM,"(-690.0, -660.0]",0.11809031925273178
NBM,"(-660.0, -630.0]",0.11952784217189939
NBM,"(-630.0, -600.0]",0.12830766178884448
NBM,"(-600.0, -570.0]",0.13532649586050643
NBM,"(-570.0, -540.0]",0.1176566233652294
NBM,"(-540.0, -510.0]",0.11025394779452728
NBM,"(-510.0, -480.0]",0.10859429451008801
NBM,"(-480.0, -450.0]",0.11014378101354191
NBM,"(-450.0, -420.0]",0.107347974050668
NBM,"(-420.0, -390.0]",0.12016731152237123
NBM,"(-390.0, -360.0]",0.12205968801842537
NBM,"(-360.0, -330.0]",0.1246375746237068
NBM,"(-330.0, -300.0]",0.10932322234505583
NBM,"(-300.0, -270.0]",0.11212897268915008
NBM,"(-270.0, -240.0]",0.11411316782052777
NBM,"(-240.0, -210.0]",0.1314297387767463
NBM,"(-210.0, -180.0]",0.1234722721172801
NBM,"(-180.0, -150.0]",0.1230155049258824
NBM,"(-150.0, -120.0]",0.12718447535735541
NBM,"(-120.0, -90.0]",0.13090986872503593
NBM,"(-90.0, -60.0]",0.14574987930272829
NBM,"(-60.0, -30.0]",0.14978809667868123
NBM,"(-30.0, 0.0]",0.1939163352760308
Other,"(-3000.0, -2970.0]",0.47554466227722775
Other,"(-2970.0, -2940.0]",0.4392493684806396
Other,"(-2940.0, -2910.0]",0.42106906676100636
Other,"(-2910.0, -2880.0]",0.4511370012332435
Other,"(-2880.0, -2850.0]",0.4340915249051965
Other,"(-2850.0, -2820.0]",0.41627943564393954
Other,"(-2820.0, -2790.0]",0.4280585086367074
Other,"(-2790.0, -2760.0]",0.4400910419939683
Other,"(-2760.0, -2730.0]",0.4384545241384626
Other,"(-2730.0, -2700.0]",0.420858139415166
Other,"(-2700.0, -2670.0]",0.38563471099465624
Other,"(-2670.0, -2640.0]",0.3966041659699766
Other,"(-2640.0, -2610.0]",0.40410944628947343
Other,"(-2610.0, -2580.0]",0.4290409273685986
Other,"(-2580.0, -2550.0]",0.42489809339522483
Other,"(-2550.0, -2520.0]",0.39163238934037004
Other,"(-2520.0, -2490.0]",0.3495367664939752
Other,"(-2490.0, -2460.0]",0.3508087813914544
Other,"(-2460.0, -2430.0]",0.3843460005790442
Other,"(-2430.0, -2400.0]",0.40299254661458317
Other,"(-2400.0, -2370.0]",0.39875175490338133
Other,"(-2370.0, -2340.0]",0.380377123042237
Other,"(-2340.0, -2310.0]",0.3511148434149765
Other,"(-2310.0, -2280.0]",0.3623378160276572
Other,"(-2280.0, -2250.0]",0.380039122786281
Other,"(-2250.0, -2220.0]",0.34921329578384824
Other,"(-2220.0, -2190.0]",0.3652814235038717
Other,"(-2190.0, -2160.0]",0.3491416373657889
Other,"(-2160.0, -2130.0]",0.327702352191043
Other,"(-2130.0, -2100.0]",0.3438024040197218
Other,"(-2100.0, -2070.0]",0.3608729678670203
Other,"(-2070.0, -2040.0]",0.3384350902989127
Other,"(-2040.0, -2010.0]",0.3351307604508196
Other,"(-2010.0, -1980.0]",0.32703204450455486
Other,"(-1980.0, -1950.0]",0.29362364128458485
Other,"(-1950.0, -1920.0]",0.3005002994483101
Other,"(-1920.0, -1890.0]",0.2812369881631676
Other,"(-1890.0, -1860.0]",0.27535786888144315
Other,"(-1860.0, -1830.0]",0.3110806393774601
Other,"(-1830.0, -1800.0]",0.2773105146425317
Other,"(-1800.0, -1770.0]",0.2842820367703144
Other,"(-1770.0, -1740.0]",0.2888579045513933
Other,"(-1740.0, -1710.0]",0.29632668909766885
Other,"(-1710.0, -1680.0]",0.28976016874355637
Other,"(-1680.0, -1650.0]",0.2700372516889635
Other,"(-1650.0, -1620.0]",0.2646544468225364
Other,"(-1620.0, -1590.0]",0.26170396360738224
Other,"(-1590.0, -1560.0]",0.22986135409003086
Other,"(-1560.0, -1530.0]",0.2577812237148435
Other,"(-1530.0, -1500.0]",0.23680578782021663
Other,"(-1500.0, -1470.0]",0.25169176206864863
Other,"(-1470.0, -1440.0]",0.2551454658311265
Other,"(-1440.0, -1410.0]",0.26017357492664916
Other,"(-1410.0, -1380.0]",0.2357627453979396
Other,"(-1380.0, -1350.0]",0.24645539798809515
Other,"(-1350.0, -1320.0]",0.22834217629413453
Other,"(-1320.0, -1290.0]",0.21565430382875114
Other,"(-1290.0, -1260.0]",0.2131685666887328
Other,"(-1260.0, -1230.0]",0.18852370048027686
Other,"(-1230.0, -1200.0]",0.19325478866948223
Other,"(-1200.0, -1170.0]",0.1913276878403272
Other,"(-1170.0, -1140.0]",0.18390804520616139
Other,"(-1140.0, -1110.0]",0.20254138766304416
Other,"(-1110.0, -1080.0]",0.18560706735182006
Other,"(-1080.0, -1050.0]",0.17527376099728476
Other,"(-1050.0, -1020.0]",0.17714692849662136
Other,"(-1020.0, -990.0]",0.16063369423055782
Other,"(-990.0, -960.0]",0.16915324941037807
Other,"(-960.0, -930.0]",0.16048925738698624
Other,"(-930.0, -900.0]",0.1325037635873915
Other,"(-900.0, -870.0]",0.1321683602439027
Other,"(-870.0, -840.0]",0.14652569756195805
Other,"(-840.0, -810.0]",0.1398372620084513
Other,"(-810.0, -780.0]",0.136495628641274
Other,"(-780.0, -750.0]",0.13278904000276565
